time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-12-01 00:00:00+00:00,5,5,24,7
2024-12-02 00:00:00+00:00,1,1,15,4
2024-12-03 00:00:00+00:00,5,3,46,7
2024-12-04 00:00:00+00:00,3,1,47,9
2024-12-05 00:00:00+00:00,5,4,29,5
2024-12-06 00:00:00+00:00,2,2,68,7
2024-12-07 00:00:00+00:00,5,3,27,6
2024-12-08 00:00:00+00:00,2,1,13,4
2024-12-09 00:00:00+00:00,11,8,34,7
2024-12-10 00:00:00+00:00,4,2,41,4
2024-12-11 00:00:00+00:00,5,3,30,6
2024-12-12 00:00:00+00:00,3,3,33,7
2024-12-13 00:00:00+00:00,5,4,34,8
2024-12-14 00:00:00+00:00,5,3,24,3
2024-12-15 00:00:00+00:00,0,0,7,3
2024-12-16 00:00:00+00:00,1,1,27,4
2024-12-17 00:00:00+00:00,3,2,2,2
2024-12-18 00:00:00+00:00,0,0,16,3
2024-12-19 00:00:00+00:00,2,1,9,1
2024-12-20 00:00:00+00:00,3,2,6,2
2024-12-22 00:00:00+00:00,7,7,26,3
2024-12-23 00:00:00+00:00,1,1,16,4
